Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
AbrahamSimpson	0.0	94.15440000000001	0.367401	0.00264	46.1202	100.0	97.88556090708408	13.257575757575758	151.0	151.0						
AbrahamSimpson_R1											0.8333333333333286	46.0	151.0	151	10.0	0.00132
AbrahamSimpson_R2											0.7575757575757507	46.0	151.0	151	10.0	0.00132
HomerSimpson	0.0	94.1549	0.36703199999999997	0.00264	46.0152	100.0	97.78672486453944	13.712121212121211	151.0	151.0						
HomerSimpson_R1											0.6060606060606091	45.0	151.0	151	10.0	0.00132
HomerSimpson_R2											0.6060606060606091	46.0	151.0	151	0.0	0.00132
MargeSimpson	0.0	94.0907	0.36994099999999996	0.002656	46.1815	100.0	98.03493776430224	10.316265060240964	151.0	151.0						
MargeSimpson_R1											0.5271084337349379	46.0	151.0	151	10.0	0.001328
MargeSimpson_R2											0.7396449704142043	46.0	151.0	151	0.0	0.001352
PattyBouvier	0.07575760000000001	94.16879999999999	0.366309	0.00264	46.429700000000004	100.0	97.57977122215533	13.863636363636363	151.0	151.0						
PattyBouvier_R1											0.5303030303030312	46.0	151.0	151	0.0	0.00132
PattyBouvier_R2											0.5208333333333428	46.0	151.0	151	10.0	0.001344
SelmaBouvier	0.0	94.2909	0.36988899999999997	0.002656	46.0606	100.0	97.8130236176494	12.575301204819278	151.0	151.0						
SelmaBouvier_R1											0.22590361445783458	45.0	151.0	151	10.0	0.001328
SelmaBouvier_R2											0.5917159763313578	46.0	151.0	151	10.0	0.001352
